,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
375,2018,4,Río Negro,68377,34292,1299,8,4,116837
376,2018,4,Salta,74295,57539,638,253,1,134578
377,2018,4,San Juan,51660,5838,806,2,1,62398
378,2018,4,San Luis,11108,7784,378,53,23,96331
379,2018,4,Santa Cruz,10659,4615,382,6,2,24768
380,2018,4,Santa Fe,335519,322782,14387,18,28,720390
381,2018,4,Santiago Del Estero,25339,61243,23,2,81,89335
382,2018,4,Tierra Del Fuego,19789,23349,1623,0,1,46260
383,2018,4,Tucumán,159215,11670,119,686,314,172004
384,2018,3,Buenos Aires,1435856,1929273,156382,62,26,3610277
385,2018,3,Capital Federal,334353,1009252,35694,3,9,1392490
386,2018,3,Catamarca,27553,4443,15,1,2,34226
387,2018,3,Chaco,53927,42359,1990,2,1,102033
388,2018,3,Chubut,58887,23065,1239,13,6,103736
389,2018,3,Córdoba,337620,342401,15785,19,10,725858
390,2018,3,Corrientes,56444,41300,212,1,32,99456
391,2018,3,Entre Ríos,103318,83714,2403,15,80,204608
392,2018,3,Formosa,22777,7589,817,13,57,44865
393,2018,3,Jujuy,33363,10856,32,641,43,44935
394,2018,3,La Pampa,12415,54574,8437,7,987,83424
395,2018,3,La Rioja,16587,34984,13,253,35,51872
396,2018,3,Mendoza,151033,40205,5744,8,1,207029
397,2018,3,Misiones,56290,50793,512,391,56,108042
398,2018,3,Neuquén,46602,54129,998,12,2,116718
399,2018,3,Río Negro,68590,33474,1252,5,5,113492
400,2018,3,Salta,76600,53980,678,234,1,132883
401,2018,3,San Juan,54025,5838,826,2,1,64481
402,2018,3,San Luis,11096,7784,368,52,2,74421
403,2018,3,Santa Cruz,18606,4574,585,6,3,33999
404,2018,3,Santa Fe,339126,312866,11749,16,15,695100
405,2018,3,Santiago Del Estero,25805,58789,23,1,81,86360
406,2018,3,Tierra Del Fuego,19365,22649,1502,1,2,45564
407,2018,3,Tucumán,161209,9280,110,252,315,171166
408,2018,2,Buenos Aires,1450203,1807868,143626,71,27,3500699
409,2018,2,Capital Federal,342431,977916,35610,3,9,1369186
410,2018,2,Catamarca,27444,4415,15,1,2,34089
411,2018,2,Chaco,54134,40750,562,1,1,98521
412,2018,2,Chubut,58935,19591,1239,14,6,100564
413,2018,2,Córdoba,345141,327636,13832,16,10,713073
414,2018,2,Corrientes,56541,39715,201,1,32,97957
415,2018,2,Entre Ríos,104811,80376,2405,12,80,199985
416,2018,2,Formosa,23543,7311,18,13,57,44554
417,2018,2,Jujuy,33571,10856,23,640,43,45133
418,2018,2,La Pampa,12416,53587,8420,7,987,82421
419,2018,2,La Rioja,16663,34984,13,253,35,51948
420,2018,2,Mendoza,152938,36872,3084,6,1,200952
421,2018,2,Misiones,57265,47923,512,391,56,106147
422,2018,2,Neuquén,46633,52855,998,12,2,115848
423,2018,2,Río Negro,68667,32795,1252,4,5,112235
424,2018,2,Salta,78386,53478,678,234,1,134167
425,2018,2,San Juan,54080,5068,826,3,1,64101
426,2018,2,San Luis,11104,7666,368,16,2,21468
427,2018,2,Santa Cruz,18615,4474,585,6,3,34405
428,2018,2,Santa Fe,337934,304349,11354,15,15,684552
429,2018,2,Santiago Del Estero,26074,55935,23,1,81,83775
430,2018,2,Tierra Del Fuego,19372,22756,531,1,2,44707
431,2018,2,Tucumán,160315,8965,110,252,315,169957
432,2018,1,Buenos Aires,1452061,1793884,133928,64,31,3475446
433,2018,1,Capital Federal,349995,968483,35535,3,9,1366570
434,2018,1,Catamarca,27300,4415,15,1,2,33945
435,2018,1,Chaco,54879,40157,383,388,1,96937
436,2018,1,Chubut,56375,19591,1194,14,6,97959
437,2018,1,Córdoba,349342,326894,13178,13,11,713926
